Timestamp,RRI
1205117.2902949,1051.0
1205118.4595046,1063.0
1205119.3596167,1069.0
1205120.290078,934.0
1205121.3096231,1029.0
1205122.3006965,1078.0
1205123.2899622,1009.0
1205124.3094428,1039.0
1205125.3594978,1112.0
1205125.3595201,1073.0
1205125.3595239,795.0
1205126.2901293,286.0
1205126.2901499,315.0
1205126.2901533,742.0
1205127.3396776,322.0
1205128.3300974,571.0
1205129.3509451,851.0
1205129.3509697,870.0
1205130.3094624,634.0
1205132.319499,1072.0
1205132.319522,1124.0
1205133.369646,1064.0
1205135.290007,1052.0
1205136.3096933,1037.0
1205137.2999241,980.0
1205139.3096384,1056.0
1205140.2997789,1166.0
1205140.8670137,0.0
